Freq,v,a
1.03591238638825e+00,2.38302344658642e-11,4.88162211414365e-06
1.03624171487415e+00,2.38453886866635e-11,4.88317403807144e-06
1.03657114805737e+00,2.38605525443973e-11,4.88472645537373e-06
1.03690068597121e+00,2.38757260451940e-11,4.88627936620737e-06
1.03723032864894e+00,2.38909091951857e-11,4.88783277072926e-06
1.03756007612387e+00,2.39061020005087e-11,4.88938666909636e-06
1.03788992842933e+00,2.39213044673030e-11,4.89094106146565e-06
1.03821988559864e+00,2.39365166017125e-11,4.89249594799419e-06
1.03854994766514e+00,2.39517384098852e-11,4.89405132883907e-06
1.03888011466217e+00,2.39669698979728e-11,4.89560720415745e-06
1.03921038662309e+00,2.39822110721310e-11,4.89716357410653e-06
1.03954076358128e+00,2.39974619385194e-11,4.89872043884355e-06
1.03987124557011e+00,2.40127225033016e-11,4.90027779852581e-06
1.04020183262297e+00,2.40279927726449e-11,4.90183565331066e-06
1.04053252477326e+00,2.40432727527207e-11,4.90339400335550e-06
1.04086332205441e+00,2.40585624497044e-11,4.90495284881778e-06
1.04119422449981e+00,2.40738618697752e-11,4.90651218985499e-06
1.04152523214292e+00,2.40891710191161e-11,4.90807202662469e-06
1.04185634501718e+00,2.41044899039143e-11,4.90963235928448e-06
1.04218756315603e+00,2.41198185303608e-11,4.91119318799200e-06
1.04251888659295e+00,2.41351569046505e-11,4.91275451290495e-06
1.04285031536140e+00,2.41505050329823e-11,4.91431633418109e-06
1.04318184949488e+00,2.41658629215591e-11,4.91587865197821e-06
1.04351348902689e+00,2.41812305765876e-11,4.91744146645416e-06
1.04384523399092e+00,2.41966080042786e-11,4.91900477776685e-06
1.04417708442049e+00,2.42119952108466e-11,4.92056858607422e-06
1.04450904034915e+00,2.42273922025105e-11,4.92213289153427e-06
1.04484110181042e+00,2.42427989854926e-11,4.92369769430505e-06
1.04517326883785e+00,2.42582155660196e-11,4.92526299454467e-06
1.04550554146501e+00,2.42736419503219e-11,4.92682879241127e-06
1.04583791972547e+00,2.42890781446341e-11,4.92839508806306e-06
1.04617040365281e+00,2.43045241551945e-11,4.92996188165829e-06
1.04650299328062e+00,2.43199799882455e-11,4.93152917335526e-06
1.04683568864251e+00,2.43354456500335e-11,4.93309696331232e-06
1.04716848977208e+00,2.43509211468087e-11,4.93466525168787e-06
1.04750139670297e+00,2.43664064848256e-11,4.93623403864038e-06
1.04783440946881e+00,2.43819016703424e-11,4.93780332432833e-06
1.04816752810325e+00,2.43974067096214e-11,4.93937310891030e-06
1.04850075263994e+00,2.44129216089287e-11,4.94094339254487e-06
1.04883408311254e+00,2.44284463745347e-11,4.94251417539070e-06
1.04916751955475e+00,2.44439810127136e-11,4.94408545760650e-06
1.04950106200025e+00,2.44595255297435e-11,4.94565723935103e-06
1.04983471048273e+00,2.44750799319067e-11,4.94722952078309e-06
1.05016846503591e+00,2.44906442254893e-11,4.94880230206153e-06
1.05050232569351e+00,2.45062184167816e-11,4.95037558334527e-06
1.05083629248926e+00,2.45218025120777e-11,4.95194936479326e-06
1.05117036545690e+00,2.45373965176758e-11,4.95352364656451e-06
1.05150454463019e+00,2.45530004398782e-11,4.95509842881807e-06
1.05183883004289e+00,2.45686142849910e-11,4.95667371171307e-06
1.05217322172878e+00,2.45842380593245e-11,4.95824949540864e-06
1.05250771972163e+00,2.45998717691928e-11,4.95982578006402e-06
1.05284232405525e+00,2.46155154209143e-11,4.96140256583845e-06
1.05317703476345e+00,2.46311690208112e-11,4.96297985289125e-06
1.05351185188004e+00,2.46468325752098e-11,4.96455764138179e-06
1.05384677543884e+00,2.46625060904403e-11,4.96613593146947e-06
1.05418180547371e+00,2.46781895728372e-11,4.96771472331375e-06
1.05451694201849e+00,2.46938830287388e-11,4.96929401707416e-06
1.05485218510703e+00,2.47095864644875e-11,4.97087381291025e-06
1.05518753477322e+00,2.47252998864296e-11,4.97245411098165e-06
1.05552299105093e+00,2.47410233009158e-11,4.97403491144802e-06
1.05585855397405e+00,2.47567567143004e-11,4.97561621446907e-06
1.05619422357650e+00,2.47725001329420e-11,4.97719802020457e-06
1.05652999989218e+00,2.47882535632032e-11,4.97878032881435e-06
1.05686588295503e+00,2.48040170114506e-11,4.98036314045827e-06
1.05720187279897e+00,2.48197904840549e-11,4.98194645529625e-06
1.05753796945795e+00,2.48355739873909e-11,4.98353027348827e-06
1.05787417296593e+00,2.48513675278372e-11,4.98511459519434e-06
1.05821048335689e+00,2.48671711117769e-11,4.98669942057454e-06
1.05854690066479e+00,2.48829847455966e-11,4.98828474978900e-06
1.05888342492363e+00,2.48988084356875e-11,4.98987058299788e-06
1.05922005616741e+00,2.49146421884445e-11,4.99145692036141e-06
1.05955679443015e+00,2.49304860102668e-11,4.99304376203987e-06
1.05989363974586e+00,2.49463399075575e-11,4.99463110819359e-06
1.06023059214857e+00,2.49622038867238e-11,4.99621895898295e-06
1.06056765167234e+00,2.49780779541770e-11,4.99780731456837e-06
1.06090481835122e+00,2.49939621163325e-11,4.99939617511033e-06
1.06124209221926e+00,2.50098563796099e-11,5.00098554076938e-06
1.06157947331056e+00,2.50257607504325e-11,5.00257541170608e-06
1.06191696165920e+00,2.50416752352281e-11,5.00416578808107e-06
1.06225455729927e+00,2.50575998404285e-11,5.00575667005504e-06
1.06259226026488e+00,2.50735345724693e-11,5.00734805778873e-06
1.06293007059016e+00,2.50894794377904e-11,5.00893995144292e-06
1.06326798830923e+00,2.51054344428360e-11,5.01053235117844e-06
1.06360601345625e+00,2.51213995940541e-11,5.01212525715619e-06
1.06394414606535e+00,2.51373748978968e-11,5.01371866953711e-06
1.06428238617070e+00,2.51533603608206e-11,5.01531258848219e-06
1.06462073380648e+00,2.51693559892857e-11,5.01690701415247e-06
1.06495918900688e+00,2.51853617897567e-11,5.01850194670904e-06
1.06529775180608e+00,2.52013777687023e-11,5.02009738631306e-06
1.06563642223830e+00,2.52174039325951e-11,5.02169333312571e-06
1.06597520033775e+00,2.52334402879120e-11,5.02328978730824e-06
1.06631408613867e+00,2.52494868411340e-11,5.02488674902196e-06
1.06665307967529e+00,2.52655435987462e-11,5.02648421842821e-06
1.06699218098185e+00,2.52816105672378e-11,5.02808219568840e-06
1.06733139009264e+00,2.52976877531021e-11,5.02968068096397e-06
1.06767070704190e+00,2.53137751628367e-11,5.03127967441643e-06
1.06801013186394e+00,2.53298728029431e-11,5.03287917620734e-06
1.06834966459304e+00,2.53459806799270e-11,5.03447918649830e-06
1.06868930526350e+00,2.53620988002984e-11,5.03607970545097e-06
1.06902905390965e+00,2.53782271705712e-11,5.03768073322706e-06
1.06936891056581e+00,2.53943657972636e-11,5.03928226998833e-06
1.06970887526632e+00,2.54105146868980e-11,5.04088431589660e-06
1.07004894804552e+00,2.54266738460008e-11,5.04248687111372e-06
1.07038912893778e+00,2.54428432811025e-11,5.04408993580161e-06
1.07072941797746e+00,2.54590229987379e-11,5.04569351012225e-06
1.07106981519895e+00,2.54752130054460e-11,5.04729759423764e-06
1.07141032063665e+00,2.54914133077698e-11,5.04890218830985e-06
1.07175093432494e+00,2.55076239122566e-11,5.05050729250102e-06
1.07209165629825e+00,2.55238448254577e-11,5.05211290697330e-06
1.07243248659100e+00,2.55400760539286e-11,5.05371903188893e-06
1.07277342523763e+00,2.55563176042292e-11,5.05532566741017e-06
1.07311447227259e+00,2.55725694829234e-11,5.05693281369937e-06
1.07345562773033e+00,2.55888316965791e-11,5.05854047091889e-06
1.07379689164532e+00,2.56051042517687e-11,5.06014863923117e-06
1.07413826405204e+00,2.56213871550686e-11,5.06175731879869e-06
1.07447974498498e+00,2.56376804130593e-11,5.06336650978398e-06
1.07482133447865e+00,2.56539840323258e-11,5.06497621234963e-06
1.07516303256756e+00,2.56702980194569e-11,5.06658642665828e-06
1.07550483928622e+00,2.56866223810459e-11,5.06819715287261e-06
1.07584675466918e+00,2.57029571236901e-11,5.06980839115537e-06
1.07618877875098e+00,2.57193022539911e-11,5.07142014166935e-06
1.07653091156618e+00,2.57356577785546e-11,5.07303240457739e-06
1.07687315314934e+00,2.57520237039906e-11,5.07464518004239e-06
1.07721550353505e+00,2.57684000369134e-11,5.07625846822730e-06
1.07755796275789e+00,2.57847867839411e-11,5.07787226929511e-06
1.07790053085246e+00,2.58011839516965e-11,5.07948658340888e-06
1.07824320785338e+00,2.58175915468063e-11,5.08110141073171e-06
1.07858599379526e+00,2.58340095759015e-11,5.08271675142676e-06
1.07892888871275e+00,2.58504380456174e-11,5.08433260565722e-06
1.07927189264048e+00,2.58668769625934e-11,5.08594897358637e-06
1.07961500561312e+00,2.58833263334731e-11,5.08756585537752e-06
1.07995822766532e+00,2.58997861649045e-11,5.08918325119402e-06
1.08030155883177e+00,2.59162564635396e-11,5.09080116119928e-06
1.08064499914715e+00,2.59327372360348e-11,5.09241958555678e-06
1.08098854864617e+00,2.59492284890508e-11,5.09403852443004e-06
1.08133220736353e+00,2.59657302292522e-11,5.09565797798263e-06
1.08167597533396e+00,2.59822424633082e-11,5.09727794637816e-06
1.08201985259218e+00,2.59987651978920e-11,5.09889842978031e-06
1.08236383917295e+00,2.60152984396812e-11,5.10051942835281e-06
1.08270793511102e+00,2.60318421953577e-11,5.10214094225943e-06
1.08305214044116e+00,2.60483964716073e-11,5.10376297166402e-06
1.08339645519813e+00,2.60649612751204e-11,5.10538551673045e-06
1.08374087941674e+00,2.60815366125916e-11,5.10700857762265e-06
1.08408541313177e+00,2.60981224907196e-11,5.10863215450461e-06
1.08443005637804e+00,2.61147189162075e-11,5.11025624754038e-06
1.08477480919037e+00,2.61313258957626e-11,5.11188085689404e-06
1.08511967160360e+00,2.61479434360965e-11,5.11350598272973e-06
1.08546464365255e+00,2.61645715439250e-11,5.11513162521166e-06
1.08580972537210e+00,2.61812102259684e-11,5.11675778450406e-06
1.08615491679711e+00,2.61978594889509e-11,5.11838446077125e-06
1.08650021796244e+00,2.62145193396013e-11,5.12001165417757e-06
1.08684562890300e+00,2.62311897846525e-11,5.12163936488742e-06
1.08719114965367e+00,2.62478708308417e-11,5.12326759306526e-06
1.08753678024938e+00,2.62645624849105e-11,5.12489633887561e-06
1.08788252072503e+00,2.62812647536046e-11,5.12652560248302e-06
1.08822837111557e+00,2.62979776436742e-11,5.12815538405211e-06
1.08857433145592e+00,2.63147011618737e-11,5.12978568374754e-06
1.08892040178106e+00,2.63314353149617e-11,5.13141650173403e-06
1.08926658212595e+00,2.63481801097012e-11,5.13304783817636e-06
1.08961287252555e+00,2.63649355528595e-11,5.13467969323934e-06
1.08995927301486e+00,2.63817016512082e-11,5.13631206708785e-06
1.09030578362888e+00,2.63984784115232e-11,5.13794495988682e-06
1.09065240440262e+00,2.64152658405847e-11,5.13957837180122e-06
1.09099913537110e+00,2.64320639451771e-11,5.14121230299610e-06
1.09134597656935e+00,2.64488727320894e-11,5.14284675363654e-06
1.09169292803241e+00,2.64656922081147e-11,5.14448172388767e-06
1.09203998979534e+00,2.64825223800504e-11,5.14611721391468e-06
1.09238716189320e+00,2.64993632546983e-11,5.14775322388283e-06
1.09273444436108e+00,2.65162148388645e-11,5.14938975395739e-06
1.09308183723405e+00,2.65330771393595e-11,5.15102680430373e-06
1.09342934054722e+00,2.65499501629981e-11,5.15266437508724e-06
1.09377695433570e+00,2.65668339165992e-11,5.15430246647337e-06
1.09412467863461e+00,2.65837284069865e-11,5.15594107862763e-06
1.09447251347908e+00,2.66006336409877e-11,5.15758021171558e-06
1.09482045890426e+00,2.66175496254349e-11,5.15921986590283e-06
1.09516851494530e+00,2.66344763671645e-11,5.16086004135504e-06
1.09551668163736e+00,2.66514138730174e-11,5.16250073823793e-06
1.09586495901563e+00,2.66683621498388e-11,5.16414195671726e-06
1.09621334711529e+00,2.66853212044781e-11,5.16578369695886e-06
1.09656184597154e+00,2.67022910437892e-11,5.16742595912861e-06
1.09691045561960e+00,2.67192716746305e-11,5.16906874339243e-06
1.09725917609468e+00,2.67362631038644e-11,5.17071204991629e-06
1.09760800743201e+00,2.67532653383579e-11,5.17235587886624e-06
1.09795694966685e+00,2.67702783849823e-11,5.17400023040835e-06
1.09830600283445e+00,2.67873022506134e-11,5.17564510470877e-06
1.09865516697007e+00,2.68043369421313e-11,5.17729050193369e-06
1.09900444210900e+00,2.68213824664203e-11,5.17893642224935e-06
1.09935382828651e+00,2.68384388303692e-11,5.18058286582204e-06
1.09970332553792e+00,2.68555060408713e-11,5.18222983281812e-06
1.10005293389853e+00,2.68725841048242e-11,5.18387732340399e-06
1.10040265340367e+00,2.68896730291298e-11,5.18552533774610e-06
1.10075248408867e+00,2.69067728206945e-11,5.18717387601096e-06
1.10110242598888e+00,2.69238834864291e-11,5.18882293836513e-06
1.10145247913965e+00,2.69410050332486e-11,5.19047252497523e-06
1.10180264357635e+00,2.69581374680727e-11,5.19212263600793e-06
1.10215291933436e+00,2.69752807978252e-11,5.19377327162994e-06
1.10250330644907e+00,2.69924350294346e-11,5.19542443200803e-06
1.10285380495588e+00,2.70096001698336e-11,5.19707611730904e-06
1.10320441489021e+00,2.70267762259593e-11,5.19872832769984e-06
1.10355513628747e+00,2.70439632047533e-11,5.20038106334737e-06
1.10390596918311e+00,2.70611611131616e-11,5.20203432441860e-06
1.10425691361257e+00,2.70783699581346e-11,5.20368811108058e-06
1.10460796961131e+00,2.70955897466272e-11,5.20534242350040e-06
1.10495913721480e+00,2.71128204855986e-11,5.20699726184520e-06
1.10531041645851e+00,2.71300621820124e-11,5.20865262628219e-06
1.10566180737794e+00,2.71473148428367e-11,5.21030851697860e-06
1.10601331000860e+00,2.71645784750442e-11,5.21196493410175e-06
1.10636492438600e+00,2.71818530856117e-11,5.21362187781899e-06
1.10671665054565e+00,2.71991386815207e-11,5.21527934829774e-06
1.10706848852311e+00,2.72164352697570e-11,5.21693734570545e-06
1.10742043835391e+00,2.72337428573109e-11,5.21859587020965e-06
1.10777250007363e+00,2.72510614511771e-11,5.22025492197790e-06
1.10812467371782e+00,2.72683910583548e-11,5.22191450117782e-06
1.10847695932207e+00,2.72857316858476e-11,5.22357460797710e-06
1.10882935692197e+00,2.73030833406637e-11,5.22523524254346e-06
1.10918186655313e+00,2.73204460298155e-11,5.22689640504469e-06
1.10953448825117e+00,2.73378197603201e-11,5.22855809564862e-06
1.10988722205170e+00,2.73552045391989e-11,5.23022031452315e-06
1.11024006799038e+00,2.73726003734778e-11,5.23188306183620e-06
1.11059302610285e+00,2.73900072701873e-11,5.23354633775580e-06
1.11094609642477e+00,2.74074252363622e-11,5.23521014244997e-06
1.11129927899181e+00,2.74248542790419e-11,5.23687447608684e-06
1.11165257383966e+00,2.74422944052701e-11,5.23853933883454e-06
1.11200598100402e+00,2.74597456220952e-11,5.24020473086130e-06
1.11235950052058e+00,2.74772079365700e-11,5.24187065233538e-06
1.11271313242508e+00,2.74946813557516e-11,5.24353710342509e-06
1.11306687675323e+00,2.75121658867019e-11,5.24520408429881e-06
1.11342073354078e+00,2.75296615364871e-11,5.24687159512496e-06
1.11377470282348e+00,2.75471683121779e-11,5.24853963607202e-06
1.11412878463710e+00,2.75646862208496e-11,5.25020820730852e-06
1.11448297901740e+00,2.75822152695819e-11,5.25187730900305e-06
1.11483728600018e+00,2.75997554654590e-11,5.25354694132423e-06
1.11519170562123e+00,2.76173068155696e-11,5.25521710444078e-06
1.11554623791637e+00,2.76348693270071e-11,5.25688779852143e-06
1.11590088292141e+00,2.76524430068692e-11,5.25855902373497e-06
1.11625564067218e+00,2.76700278622581e-11,5.26023078025028e-06
1.11661051120453e+00,2.76876239002806e-11,5.26190306823624e-06
1.11696549455431e+00,2.77052311280480e-11,5.26357588786183e-06
1.11732059075739e+00,2.77228495526763e-11,5.26524923929606e-06
1.11767579984964e+00,2.77404791812856e-11,5.26692312270799e-06
1.11803112186696e+00,2.77581200210009e-11,5.26859753826675e-06
1.11838655684524e+00,2.77757720789517e-11,5.27027248614151e-06
1.11874210482040e+00,2.77934353622718e-11,5.27194796650150e-06
1.11909776582836e+00,2.78111098780997e-11,5.27362397951601e-06
1.11945353990505e+00,2.78287956335785e-11,5.27530052535437e-06
1.11980942708642e+00,2.78464926358557e-11,5.27697760418597e-06
1.12016542740842e+00,2.78642008920835e-11,5.27865521618026e-06
1.12052154090703e+00,2.78819204094185e-11,5.28033336150674e-06
1.12087776761823e+00,2.78996511950218e-11,5.28201204033495e-06
1.12123410757800e+00,2.79173932560594e-11,5.28369125283452e-06
1.12159056082235e+00,2.79351465997014e-11,5.28537099917508e-06
1.12194712738730e+00,2.79529112331228e-11,5.28705127952637e-06
1.12230380730886e+00,2.79706871635030e-11,5.28873209405815e-06
1.12266060062309e+00,2.79884743980260e-11,5.29041344294023e-06
1.12301750736602e+00,2.80062729438805e-11,5.29209532634250e-06
1.12337452757372e+00,2.80240828082595e-11,5.29377774443489e-06
1.12373166128225e+00,2.80419039983607e-11,5.29546069738737e-06
1.12408890852771e+00,2.80597365213866e-11,5.29714418537000e-06
1.12444626934618e+00,2.80775803845438e-11,5.29882820855286e-06
1.12480374377378e+00,2.80954355950440e-11,5.30051276710609e-06
1.12516133184662e+00,2.81133021601031e-11,5.30219786119990e-06
1.12551903360082e+00,2.81311800869419e-11,5.30388349100454e-06
1.12587684907254e+00,2.81490693827855e-11,5.30556965669033e-06
1.12623477829792e+00,2.81669700548637e-11,5.30725635842761e-06
1.12659282131312e+00,2.81848821104110e-11,5.30894359638682e-06
1.12695097815433e+00,2.82028055566664e-11,5.31063137073842e-06
1.12730924885772e+00,2.82207404008736e-11,5.31231968165294e-06
1.12766763345950e+00,2.82386866502807e-11,5.31400852930095e-06
1.12802613199587e+00,2.82566443121406e-11,5.31569791385309e-06
1.12838474450306e+00,2.82746133937107e-11,5.31738783548005e-06
1.12874347101729e+00,2.82925939022532e-11,5.31907829435257e-06
1.12910231157483e+00,2.83105858450346e-11,5.32076929064145e-06
1.12946126621190e+00,2.83285892293264e-11,5.32246082451754e-06
1.12982033496480e+00,2.83466040624045e-11,5.32415289615174e-06
1.13017951786979e+00,2.83646303515493e-11,5.32584550571501e-06
1.13053881496316e+00,2.83826681040462e-11,5.32753865337837e-06
1.13089822628122e+00,2.84007173271848e-11,5.32923233931288e-06
1.13125775186029e+00,2.84187780282598e-11,5.33092656368967e-06
1.13161739173667e+00,2.84368502145701e-11,5.33262132667992e-06
1.13197714594672e+00,2.84549338934195e-11,5.33431662845484e-06
1.13233701452678e+00,2.84730290721165e-11,5.33601246918575e-06
1.13269699751320e+00,2.84911357579739e-11,5.33770884904396e-06
1.13305709494237e+00,2.85092539583096e-11,5.33940576820088e-06
1.13341730685066e+00,2.85273836804458e-11,5.34110322682795e-06
1.13377763327446e+00,2.85455249317095e-11,5.34280122509669e-06
1.13413807425019e+00,2.85636777194324e-11,5.34449976317864e-06
1.13449862981426e+00,2.85818420509509e-11,5.34619884124543e-06
1.13485930000309e+00,2.86000179336057e-11,5.34789845946871e-06
1.13522008485314e+00,2.86182053747427e-11,5.34959861802021e-06
1.13558098440085e+00,2.86364043817122e-11,5.35129931707171e-06
1.13594199868268e+00,2.86546149618691e-11,5.35300055679504e-06
1.13630312773511e+00,2.86728371225730e-11,5.35470233736208e-06
1.13666437159464e+00,2.86910708711884e-11,5.35640465894477e-06
1.13702573029774e+00,2.87093162150843e-11,5.35810752171512e-06
1.13738720388095e+00,2.87275731616344e-11,5.35981092584516e-06
1.13774879238077e+00,2.87458417182171e-11,5.36151487150701e-06
1.13811049583374e+00,2.87641218922155e-11,5.36321935887282e-06
1.13847231427641e+00,2.87824136910174e-11,5.36492438811480e-06
1.13883424774533e+00,2.88007171220153e-11,5.36662995940523e-06
1.13919629627708e+00,2.88190321926064e-11,5.36833607291643e-06
1.13955845990822e+00,2.88373589101925e-11,5.37004272882078e-06
1.13992073867535e+00,2.88556972821804e-11,5.37174992729071e-06
1.14028313261508e+00,2.88740473159812e-11,5.37345766849870e-06
1.14064564176402e+00,2.88924090190111e-11,5.37516595261731e-06
1.14100826615880e+00,2.89107823986908e-11,5.37687477981913e-06
1.14137100583605e+00,2.89291674624457e-11,5.37858415027680e-06
1.14173386083243e+00,2.89475642177060e-11,5.38029406416304e-06
1.14209683118458e+00,2.89659726719067e-11,5.38200452165062e-06
1.14245991692920e+00,2.89843928324873e-11,5.38371552291234e-06
1.14282311810296e+00,2.90028247068923e-11,5.38542706812107e-06
1.14318643474256e+00,2.90212683025708e-11,5.38713915744976e-06
1.14354986688471e+00,2.90397236269765e-11,5.38885179107137e-06
